,equity
2024-09-02,1.0
2024-09-03,1.0
2024-09-04,1.0
2024-09-05,1.0
2024-09-06,0.9559731671133811
2024-09-09,0.9559731671133811
2024-09-10,0.9559731671133811
2024-09-11,0.9559731671133811
2024-09-12,0.9559731671133811
2024-09-13,0.9556037466661184
2024-09-16,0.9556037466661184
2024-09-17,0.9556037466661184
2024-09-18,0.9556037466661184
2024-09-19,0.9556037466661184
2024-09-20,1.1913357914301046
2024-09-23,1.1913357914301046
2024-09-24,1.1913357914301046
2024-09-25,1.1913357914301046
2024-09-26,1.1913357914301046
2024-09-27,1.34047431267832
2024-09-30,1.34047431267832
2024-10-01,1.34047431267832
2024-10-02,1.34047431267832
2024-10-03,1.34047431267832
2024-10-04,1.3874358317561197
2024-10-07,1.3874358317561197
2024-10-08,1.3874358317561197
2024-10-09,1.3874358317561197
2024-10-10,1.3874358317561197
2024-10-11,1.3702150293550197
2024-10-14,1.3702150293550197
2024-10-15,1.3702150293550197
2024-10-16,1.3702150293550197
2024-10-17,1.3702150293550197
2024-10-18,1.3781771360270834
2024-10-21,1.3781771360270834
2024-10-22,1.3781771360270834
2024-10-23,1.3781771360270834
2024-10-24,1.3781771360270834
2024-10-25,1.3360546150903245
2024-10-28,1.3360546150903245
2024-10-29,1.3360546150903245
2024-10-30,1.3360546150903245
2024-10-31,1.3360546150903245
2024-11-01,1.382956321717145
2024-11-04,1.382956321717145
2024-11-05,1.382956321717145
2024-11-06,1.382956321717145
2024-11-07,1.382956321717145
2024-11-08,1.3363912014863688
2024-11-11,1.3363912014863688
2024-11-12,1.3363912014863688
2024-11-13,1.3363912014863688
2024-11-14,1.3363912014863688
2024-11-15,1.2845788704994174
2024-11-18,1.2845788704994174
2024-11-19,1.2845788704994174
2024-11-20,1.2845788704994174
2024-11-21,1.2845788704994174
2024-11-22,1.284488418393244
2024-11-25,1.284488418393244
2024-11-26,1.284488418393244
2024-11-27,1.284488418393244
2024-11-28,1.284488418393244
2024-11-29,1.300799053270763
2024-12-02,1.300799053270763
2024-12-03,1.300799053270763
2024-12-04,1.300799053270763
2024-12-05,1.300799053270763
2024-12-06,1.2892618812970256
2024-12-09,1.2892618812970256
2024-12-10,1.2892618812970256
2024-12-11,1.2892618812970256
2024-12-12,1.2892618812970256
2024-12-13,1.289557180320123
2024-12-16,1.289557180320123
2024-12-17,1.289557180320123
2024-12-18,1.289557180320123
2024-12-19,1.289557180320123
2024-12-20,1.3059933118862197
2024-12-23,1.3059933118862197
2024-12-24,1.3059933118862197
2024-12-25,1.3059933118862197
2024-12-26,1.3059933118862197
2024-12-27,1.3059933118862197
2024-12-30,1.3059933118862197
2024-12-31,1.3059933118862197
